scores
0
0
0
100
0
0
0
0
0
0
0
100
0
0
0
100
0
0
0
0
0
0
0
0
100
0
100
0
0
0
0
0
100
100
0
0
100
100
0
0
0
0
0
100
100
0
0
100
100
200
100
0
100
500
100
0
300
300
100
500
600
300
300
300
0
500
700
300
300
300
600
200
100
100
500
300
500
0
300
300
500
200
300
500
0
300
500
300
300
300
1900
300
200
1000
300
500
300
400
300
1800
100
300
300
1600
300
300
1600
300
300
200
300
600
300
300
300
2300
900
300
300
300
200
300
1700
300
2300
300
300
500
300
200
300
300
200
200
200
300
200
1000
1000
500
300
1500
1500
200
300
1500
600
700
2100
400
500
1700
1800
1500
1000
300
400
1000
1000
300
600
1600
1700
100
700
300
200
200
1000
300
300
300
300
300
1500
500
600
400
600
1500
200
700
900
400
200
400
200
300
300
0
200
400
100
700
400
0
200
200
700
300
300
1500
0
400
400
300
0
400
1000
1000
500
400
400
100
1800
100
300
200
1800
1000
300
300
700
300
300
200
600
600
500
400
0
1500
500
300
700
700
2300
700
100
1000
500
0
1500
1000
300
700
1800
2300
600
1500
500
100
300
600
200
600
300
300
0
0
300
200
1700
300
200
1000
300
1800
300
400
300
400
300
300
300
300
500
100
400
300
1700
0
300
300
0
300
2300
600
1800
1900
0
1500
1800
1500
1800
700
2300
400
2300
0
1600
400
300
500
400
1500
1800
200
1500
600
0
500
200
300
300
300
0
400
600
300
1000
400
2300
300
600
300
100
100
300
100
0
0
0
1600
300
500
1800
400
400
1500
1700
200
200
1000
700
400
300
0
1500
100
300
500
0
300
100
300
1000
300
400
1700
1000
700
0
2100
2200
300
300
700
200
1000
300
300
1000
800
200
400
1000
200
200
200
300
1500
0
300
100
300
1000
1700
600
300
0
0
1000
0
1000
200
800
900
2200
1700
1000
400
200
300
1000
1800
300
0
0
2300
400
100
0
300
1500
300
400
100
1500
400
300
300
400
1800
100
100
400
200
1700
300
200
1000
300
200
500
100
1700
600
1700
1700
200
300
0
100
200
300
300
1500
300
400
400
100
300
300
300
1500
1700
0
600
100
0
0
300
300
400
300
0
200
600
1000
100
100
0
100
300
1800
100
2300
100
100
300
400
1800
400
300
300
300
1700
1700
200
300
0
300
300
0
0
0
100
300
100
400
700
500
0
200
300
400
1000
400
1700
300
200
1800
1000
2200
200
100
500
700
1800
1600
100
200
300
1700
1500
300
1000
300
1700
500
1800
1800
2300
0
100
1500
300
1800
500
100
300
100
700
1700
500
700
0
200
300
300
1700
1800
300
300
500
300
1000
1500
300
200
200
1800
300
500
100
1500
1800
500
1500
300
2300
400
600
1700
2000
1800
0
300
300
300
1800
300
2300
2300
1800
500
1700
300
300
300
100
600
200
100
100
1900
0
200
300
700
1800
2300
500
700
2300
500
1800
500
1700
1000
100
100
200
200
100
600
100
300
300
500
1800
1700
500
500
400
500
300
2300
300
500
600
300
500
300
300
1500
1800
300
1500
0
2200
200
300
2200
200
1800
300
300
500
500
0
1000
2300
1500
2300
300
1700
100
1800
1800
300
1800
300
300
1700
1500
1000
300
200
1800
300
800
300
500
300
600
2200
2200
300
1700
0
2200
300
2300
1800
1500
100
300
100
2300
400
1800
100
1800
1900
300
1800
1700
300
300
200
600
500
100
